- | [] | [20180903 13:50:59.385] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] | --> Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3e50eddc] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)|
- | [] | [20180903 13:51:03.838] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.h.SimpleUrlHandlerMapping] | --> Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]|
- | [] | [20180903 13:51:04.909] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerAdapter] | --> Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@2767e23c: startup date [Mon Sep 03 13:50:54 CST 2018]; root of context hierarchy|
- | [] | [20180903 13:51:05.128] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/upload-picture],methods=[POST]}" onto public java.lang.String com.millionaire.millionaireclientweb.controller.AliyunAPIController.test(org.springframework.web.multipart.MultipartFile) throws java.io.IOException,com.millionaire.millionairecommonapi.excepion.AliyunAPIException|
- | [] | [20180903 13:51:05.139] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/ID-card-upload],methods=[POST]}" onto public java.lang.String com.millionaire.millionaireclientweb.controller.AliyunAPIController.testID(org.springframework.web.multipart.MultipartFile) throws java.io.IOException,com.millionaire.millionairecommonapi.excepion.AliyunAPIException|
- | [] | [20180903 13:51:05.267] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/message],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.getMessage(javax.servlet.http.HttpServletRequest)|
- | [] | [20180903 13:51:05.295] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/transaction/{id}],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.findById(java.lang.Long)|
- | [] | [20180903 13:51:05.313] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/transaction],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.findAll(javax.servlet.http.HttpServletRequest)|
- | [] | [20180903 13:51:05.325] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/investments],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.getUserInvestments(java.lang.Byte,javax.servlet.http.HttpServletRequest)|
- | [] | [20180903 13:51:05.329] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/authentication],methods=[PUT]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.updateAuthentication(com.alibaba.fastjson.JSONObject,javax.servlet.http.HttpServletRequest)|
- | [] | [20180903 13:51:05.332] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/message/{id}],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.getMessagePlatform(java.lang.Long)|
- | [] | [20180903 13:51:05.341] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/banks],methods=[POST]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.insertUserBank(com.alibaba.fastjson.JSONObject,javax.servlet.http.HttpServletRequest)|
- | [] | [20180903 13:51:05.409] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.getUser(javax.servlet.http.HttpServletRequest)|
- | [] | [20180903 13:51:05.433] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/login/0],methods=[POST]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.login0(com.alibaba.fastjson.JSONObject,javax.servlet.http.HttpServletResponse)|
- | [] | [20180903 13:51:05.438] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/loginPage],methods=[GET]}" onto public java.lang.String com.millionaire.millionaireclientweb.controller.SunController.loginPage()|
- | [] | [20180903 13:51:05.442] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/agreement],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.getAgreement()|
