- | [] | [20180903 13:13:59.416] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/investment-credit],methods=[PUT]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ClaimMatchController.updateInvestmentCredit(com.alibaba.fastjson.JSONObject)|
- | [] | [20180903 13:13:59.417] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/list/claim-match/{claimid}],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ClaimMatchController.listClaimMatch(long,java.lang.Integer,java.lang.Integer,com.millionaire.millionairebusinessservice.request.ClaimMatchQuery)|
- | [] | [20180903 13:13:59.428] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/content-info/{contentId}],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ContentController.getContent(java.lang.Long)|
- | [] | [20180903 13:13:59.429] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/content-status/{contentId}],methods=[PUT]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ContentController.updateStatus(java.lang.Long,com.alibaba.fastjson.JSONObject)|
- | [] | [20180903 13:13:59.431] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/content/{contentId}],methods=[DELETE]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ContentController.deleteContent(long)|
- | [] | [20180903 13:13:59.432] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/list/content],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ContentController.listContent(java.lang.Integer,java.lang.Integer,com.millionaire.millionairemanagerservice.request.ContentQuery)|
- | [] | [20180903 13:13:59.432] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/content],methods=[POST]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ContentController.insertContent(com.millionaire.millionairemanagerservice.module.Content)|
- | [] | [20180903 13:13:59.432] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/content/{contentId}],methods=[PUT]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ContentController.updateContent(java.lang.Long,com.millionaire.millionairemanagerservice.module.Content)|
- | [] | [20180903 13:13:59.436] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/product-info/{productId}],methods=[PUT]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.InvestmentProductController.updateProductShelfCommendLimit(java.lang.Long,com.alibaba.fastjson.JSONObject)|
- | [] | [20180903 13:13:59.436] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/investment-product],methods=[POST]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.InvestmentProductController.insertInvestmentProduct(com.millionaire.millionairebusinessservice.module.InvestmentProduct)|
- | [] | [20180903 13:13:59.437] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/list/investment-product],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.InvestmentProductController.getListInvestmentProduct(java.lang.Integer,java.lang.Integer,com.millionaire.millionairebusinessservice.request.ProductQuery)|
- | [] | [20180903 13:13:59.437] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/product-shelf/{productId}],methods=[PUT]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.InvestmentProductController.updateProductIsShelf(java.lang.Long,com.alibaba.fastjson.JSONObject)|
- | [] | [20180903 13:13:59.440] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/product-info/{productId}],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.InvestmentProductController.selectInvestmentProduct(java.lang.Long)|
- | [] | [20180903 13:13:59.446] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/message-platform-status/{platformId}],methods=[PUT]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.MessagePlatformController.updateMessageStatus(java.lang.Long,com.alibaba.fastjson.JSONObject)|
- | [] | [20180903 13:13:59.446] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/list/message-platform],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.MessagePlatformController.listMessagePlatform(java.lang.Integer,java.lang.Integer,com.millionaire.millionairemanagerservice.request.MessagePlatformQuery)|
- | [] | [20180903 13:13:59.447] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/message-platform/{platformId}],methods=[DELETE]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.MessagePlatformController.deleteMessagePlatform(long)|
- | [] | [20180903 13:13:59.447] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/message-platform],methods=[POST]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.MessagePlatformController.insertMessagePlatform(com.millionaire.millionairemanagerservice.module.MessagePlatform)|
- | [] | [20180903 13:13:59.447] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/message-platform/{platformId}],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.MessagePlatformController.selectMessage(java.lang.Long)|
- | [] | [20180903 13:13:59.448] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/system-param],methods=[PUT]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ParameterSettingController.systemParamSetting(com.alibaba.fastjson.JSONObject)|
- | [] | [20180903 13:13:59.454] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/list/proposal],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ProposalController.listProposalByPage(java.lang.Integer,java.lang.Integer,com.millionaire.millionairemanagerservice.request.ProposalQuery)|
- | [] | [20180903 13:13:59.455] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/proposal/{proposalId}],methods=[DELETE]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ProposalController.deleteProposal(java.lang.Long)|
- | [] | [20180903 13:13:59.456] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/proposal/{proposalId}],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ProposalController.selectProposal(java.lang.Long)|
- | [] | [20180903 13:13:59.466] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/list/user],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ReceptionUsersController.getListReceptionUsers(java.lang.Integer,java.lang.Integer,com.millionaire.millionaireuserservice.request.ReceptionUsersQuery)|
- | [] | [20180903 13:13:59.466] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/user-verification/{uid}],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ReceptionUsersController.selectUsersVerification(java.lang.Long)|
- | [] | [20180903 13:13:59.466] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/list/user-verification],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ReceptionUsersController.listUsersVerification(java.lang.Integer,java.lang.Integer,com.millionaire.millionaireuserservice.request.UsersVerificationQuery)|
- | [] | [20180903 13:13:59.466] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/user/{uid}],methods=[PUT]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ReceptionUsersController.updateUserPhoneMangerNum(java.lang.Long,com.alibaba.fastjson.JSONObject)|
- | [] | [20180903 13:13:59.467] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/list/trading-flow/{uid}],methods=[GET]}" onto public com.millionaire.millionaireserverweb.result.ResultBean com.millionaire.millionaireserverweb.controller.ReceptionUsersController.listUserTradingFlow(java.lang.Long,java.lang.Integer,java.lang.Integer,com.millionaire.millionairebusinessservice.request.TradingFlowQuery)|
